bucket,doc_id,borrower,section_number,heading,section_struct_rows,section_inline_rows,section_total_rows,sample_idx,clause_id,label,depth,level_type,parent_id,is_structural,parse_confidence,span_start,span_end,header_text,parent_clause_id,parent_is_structural,parent_parse_confidence,flag_structural_child_nonstruct_parent,flag_inline_high_letter_branch,clause_text_snippet,review_status,review_issue_type,review_action,review_notes
depth2_wave1,3d81e6691a05a31d,Samson Investment,9.1,,492,119,611,1,a_dup5.1,(1),4,numeric,a_dup5,True,0.9525,130934,131225,"the business of acquiring, exploring, exploiting, developing, producing, operat",a_dup5,False,0.0,1,0,"(1) the business of acquiring, exploring, exploiting, developing, producing, operating and disposing of interests in oil, natural gas, natural gas liquids, liquefied natural gas and other Hydrocarbons and mineral properties or products produced in association with any of the fore",,,,
depth2_wave1,3d81e6691a05a31d,Samson Investment,9.1,,492,119,611,2,a_dup5.2,(2),4,numeric,a_dup5,True,0.9525,131225,131554,"the business of gathering, marketing, distributing, treating, processing, stori",a_dup5,False,0.0,1,0,"(2) the business of gathering, marketing, distributing, treating, processing, storing, refining, selling and transporting of any production from such interests or properties and products produced in association therewith and the marketing of oil, natural gas, other Hydrocarbons a",,,,
depth2_wave1,3d81e6691a05a31d,Samson Investment,9.1,,492,119,611,3,a_dup5.3,(3),4,numeric,a_dup5,True,0.9525,131554,131874,"any other related energy business, including power generation and electrical tr",a_dup5,False,0.0,1,0,"(3) any other related energy business, including power generation and electrical transmission business, directly or indirectly, from oil, natural gas and other Hydrocarbons and minerals produced substantially from properties in which the Borrower or its Restricted Subsidiaries, d",,,,
depth2_wave1,3d81e6691a05a31d,Samson Investment,9.1,,492,119,611,4,a_dup5.4,(4),4,numeric,a_dup5,True,0.9525,131874,131940,any business relating to oil field sales and service,a_dup5,False,0.0,1,0,(4) any business relating to oil field sales and service; and,,,,
depth2_wave1,3d81e6691a05a31d,Samson Investment,9.1,,492,119,611,5,a_dup5.5,(5),4,numeric,a_dup5,True,0.9525,131940,132089,"any business or activity relating to, arising from, or necessary, appropriate o",a_dup5,False,0.0,1,0,"(5) any business or activity relating to, arising from, or necessary, appropriate or incidental to the activities described in the foregoing clauses",,,,
depth2_wave1,5dbde82ed739b9d0,New Fortress Energy,6.13,Amendment or Termination of Material Project Documents; Other Restrictions on Material Project Documents,435,162,597,1,a_dup5.B.3,(3),4,numeric,a_dup5.B,True,0.9525,20822,21106,"the sale, conveyance, transfer or other disposition, whether in a single transa",a_dup5.B,False,0.6525,1,0,"(3) the sale, conveyance, transfer or other disposition, whether in a single transaction or a series of related transactions, of property or assets (including by way of a Sale and Lease-Back Transaction) of the Borrower or any of its Restricted Subsidiaries (a “ Disposition ”); o",,,,
depth2_wave1,5dbde82ed739b9d0,New Fortress Energy,6.13,Amendment or Termination of Material Project Documents; Other Restrictions on Material Project Documents,435,162,597,2,a_dup5.B.4,(4),4,numeric,a_dup5.B,True,0.9525,21106,21418,the sale of Equity Interests of any Restricted Subsidiary (other than Preferred,a_dup5.B,False,0.6525,1,0,"(4) the sale of Equity Interests of any Restricted Subsidiary (other than Preferred Stock of Restricted Subsidiaries issued in compliance with Section 6.3 ), whether in a single transaction or a series of related transactions and whether effected pursuant to a Division or otherwi",,,,
depth2_wave1,5dbde82ed739b9d0,New Fortress Energy,6.13,Amendment or Termination of Material Project Documents; Other Restrictions on Material Project Documents,435,162,597,3,d_dup2.i,(i),2,roman,d_dup2,True,0.9525,22725,23159,Dispositions of inventory or other assets (including the Disposition of tankers,d_dup2,False,0.0,1,0,"(i) Dispositions of inventory or other assets (including the Disposition of tankers or other marine vessels (other than tankers or other marine vessels that constitute Collateral), trucks, rail cars, ISO containers, natural gas, steam and power) in the ordinary course of business",,,,
depth2_wave1,5dbde82ed739b9d0,New Fortress Energy,6.13,Amendment or Termination of Material Project Documents; Other Restrictions on Material Project Documents,435,162,597,4,a_dup10.1,(1),4,numeric,a_dup10,True,0.9525,37569,37597,Daily Simple SOFR,a_dup10,False,0.0,1,0,(1) Daily Simple SOFR; or,,,,
depth2_wave1,5dbde82ed739b9d0,New Fortress Energy,6.13,Amendment or Termination of Material Project Documents; Other Restrictions on Material Project Documents,435,162,597,5,a_dup10.2,(2),4,numeric,a_dup10,True,0.9525,37597,37613,the sum of: (a) the alternate benchmark rate that has been selected by the Admi,a_dup10,False,0.0,1,0,(2) the sum of:,,,,
