queue_item_id,fixture_id,category,doc_id,section_number,split,quality_grade,decision,node_count,training_utility,policy_risk,next_action,finish_reason,completion_tokens,reasoning_tokens,contract_pass,reason_codes,notes
P1-ADJUDICATION-TRAINSTART-0031,GFV1C-HIGH_LETTER_CONTINUATION-0072,high_letter_continuation,74d3a48b4aa3455f,2.16,train,Q2_PASS_BUT_LOW_UTILITY,review,0,low_for_parser_training_use_for_queue,False,send_to_manual_adjudication_for_authoritative_label,stop,2482,2176,True,REV_INLINE_CONTINUATION_SUSPECTED|PAGINATION_ARTIFACTS,
P1-ADJUDICATION-TRAINSTART-0032,GFV1C-HIGH_LETTER_CONTINUATION-0074,high_letter_continuation,81cedd2a0a26e25b,6.03,train,Q2_PASS_BUT_LOW_UTILITY,abstain,0,low_for_parser_training_use_for_abstain_model,False,retain_for_abstain_calibration_not_token_training,stop,4680,4352,True,ABSTAIN_PAGINATION_ARTIFACT|OCR_LAYOUT_CORRUPTION,
P1-ADJUDICATION-TRAINSTART-0033,GFV1C-HIGH_LETTER_CONTINUATION-0075,high_letter_continuation,831dd0cf895d8d1e,6.02,train,Q2_PASS_BUT_LOW_UTILITY,review,0,low_for_parser_training_use_for_queue,False,send_to_manual_adjudication_for_authoritative_label,stop,2172,1856,True,REV_INLINE_CONTINUATION_SUSPECTED|SUBLIST_ROMAN_AMBIGUITY|PAGINATION_LAYOUT_ARTIFACTS,
P1-ADJUDICATION-TRAINSTART-0034,GFV1C-HIGH_LETTER_CONTINUATION-0076,high_letter_continuation,8c7207cdbaf44789,2.01,train,Q2_PASS_BUT_LOW_UTILITY,abstain,0,low_for_parser_training_use_for_abstain_model,False,retain_for_abstain_calibration_not_token_training,stop,1939,1664,True,ABSTAIN_LENGTH_MISMATCH|ABSTAIN_PAGINATION_ARTIFACTS,
P1-ADJUDICATION-TRAINSTART-0035,GFV1C-HIGH_LETTER_CONTINUATION-0077,high_letter_continuation,9aac4ec441039437,5.2,train,Q2_PASS_BUT_LOW_UTILITY,abstain,0,low_for_parser_training_use_for_abstain_model,False,retain_for_abstain_calibration_not_token_training,stop,2211,1920,True,PAGINATION_ARTIFACTS_PRESENT|SPAN_INDICES_UNCERTAIN|MULTI_PAGE_LAYOUT_CONTAMINATION,
P1-ADJUDICATION-TRAINSTART-0036,GFV1C-HIGH_LETTER_CONTINUATION-0079,high_letter_continuation,110eb181eeb638d9,5.15,train,Q2_PASS_BUT_LOW_UTILITY,abstain,0,low_for_parser_training_use_for_abstain_model,False,retain_for_abstain_calibration_not_token_training,stop,2169,1920,True,ABSTAIN_LAYOUT_ARTIFACTS|PAGE_BREAK_INSERTED|OFFSET_UNCERTAINTY_HIGH,
P1-ADJUDICATION-TRAINSTART-0037,GFV1C-HIGH_LETTER_CONTINUATION-0081,high_letter_continuation,22c66f948c928590,4.07,train,Q2_PASS_BUT_LOW_UTILITY,review,0,low_for_parser_training_use_for_queue,False,send_to_manual_adjudication_for_authoritative_label,stop,2542,2240,True,REV_HIGH_LETTER_CONTINUATION|REV_FOR_PURPOSES_SCOPE_AMBIGUOUS,
P1-ADJUDICATION-TRAINSTART-0038,GFV1C-HIGH_LETTER_CONTINUATION-0082,high_letter_continuation,24f56c9bebd4d3cc,3.6,train,Q0_FAIL_UNUSABLE,,,none,False,rerun_row_with_output_budget_controls,length,7000,7000,False,,output_not_parseable_json|finish_reason=length|max_completion_hit_with_no_json_output
P1-ADJUDICATION-TRAINSTART-0039,GFV1C-HIGH_LETTER_CONTINUATION-0083,high_letter_continuation,5dcebaa8180686a0,7.03,train,Q0_FAIL_UNUSABLE,,,none,False,rerun_row_with_output_budget_controls,length,7000,7000,False,,output_not_parseable_json|finish_reason=length|max_completion_hit_with_no_json_output
P1-ADJUDICATION-TRAINSTART-0040,GFV1C-HIGH_LETTER_CONTINUATION-0084,high_letter_continuation,85ef7c34e17930f5,10.1,train,Q2_PASS_BUT_LOW_UTILITY,abstain,0,low_for_parser_training_use_for_abstain_model,False,retain_for_abstain_calibration_not_token_training,stop,2643,2368,True,ABSTAIN_PAGE_ARTIFACTS|OCR_GLITCHES|OFFSET_UNCERTAINTY,
